타임스탬프,I-1. 귀하가 근무하는 기관의 유형을 선택해 주세요.,I-2. 귀하의 직군을 선택해 주세요.,I-3. 귀하의 직급을 선택해 주세요.,"II-1. 귀하는 정보자원통합 대상 시스템 관련자(부서장, 팀장, 담당자 등) 이신가요?",II-1-1. 자원통합 추진과정의 전반적인 만족도에 대해 평가하여 주십시오.,"II-2. 귀하는 현재 정보시스템(홈페이지, 업무시스템 등)을 담당하고 계신가요?",II-3. 귀하는 서버실 운영이나 장비 관리업무를 직접 수행해 보신 경험이 있으신가요?,"II-4. 귀하는 정보자원통합 사업이 본청 각부서, 교육지원청, 직속기관의 정보시스템을 교육정보기록원으로 통합하는 사업임을 알고 계신가요?","II-5. 귀하는 정보자원통합 후 개별 기관(본청 각 부서, 교육지원청, 직속기관)에서 관리하던 정보시스템 인프라(서버, 스토리지, 백업, 서버보안OS 등)를 교육정보기록원 전담부서에서 2026. 7. 1.부터 관리하게 되는 것을 알고 계신가요?",II-6. 귀하가 생각하는 정보자원 통합 완료 후 가장 기대되는 효과를 다음 중 3가지 선택해 주세요.,II-6-1. 귀하가 생각하는 정보자원 통합 완료 후 가장 기대되는 효과를 다음 항목 우선순위(상/중/하)로 선택해 주세요. [(보안강화) 보안체계 일원화로 정보보호 수준 향상],II-6-1. 귀하가 생각하는 정보자원 통합 완료 후 가장 기대되는 효과를 다음 항목 우선순위(상/중/하)로 선택해 주세요. [(가용성 확보) 업무집중 시기 신속한 자원 증설],II-6-1. 귀하가 생각하는 정보자원 통합 완료 후 가장 기대되는 효과를 다음 항목 우선순위(상/중/하)로 선택해 주세요. [(업무경감) 시스템 관리업무 전담화로 업무 부담 경감],"II-6-1. 귀하가 생각하는 정보자원 통합 완료 후 가장 기대되는 효과를 다음 항목 우선순위(상/중/하)로 선택해 주세요. [(예산절감) 신규, 고도화 사업 시 통합자원 활용으로 중복 투자 방지]",II-6-1. 귀하가 생각하는 정보자원 통합 완료 후 가장 기대되는 효과를 다음 항목 우선순위(상/중/하)로 선택해 주세요. [(장애대응) 통합관제 센터 모니터링으로 장애 예방 및 신속한 대응],II-6-1. 귀하가 생각하는 정보자원 통합 완료 후 가장 기대되는 효과를 다음 항목 우선순위(상/중/하)로 선택해 주세요. [(데이터기반행정) 데이터 연계 체계 기반 행정],I1-7. 귀하가 정보자원 통합 완료 후 정보화 업무 관련으로 희망하는 사항을 자유롭게 작성해주세요.,아래의 해당 분야에 해당되십니까?,TRN-1. 이전 통합 후 홈페이지 운영관리에 어느 정도 만족하십니까?,"TRN-2. 통합 이전 과정(계획, 협의, 서비스 전환)에 대해 어느 정도 만족하십니까?","TRN-3. 통합 이전 후 성능개선, AP오류 개선 등 안정화 지원에 만족하십니까?",MSA-1. 기존 홈페이지와 비교하여 새로운 홈페이지에 어느 정도 만족하십니까?,"MSA-2. MSA 전환 및 개발 과정(계획, 협의, 서비스 개통)에 대해 어느 정도 만족하십니까?",MSA-3. 신규 홈페이지에 적용한 디지털원패스 로그인 방식에 만족하십니까?,MSA-4. 일시적으로 사용자가 집중되는 예약업무가 서버 중단없이 운영되었나요?,MSA-5. MSA 기술이 적용된 시스템에 만족하십니까?,CMS-1. 기존 홈페이지와 비교하여 새로운 홈페이지에 어느 정도 만족하십니까?,"CMS-2. CMS 전환 및 개발 과정(계획, 협의, 서비스 개통)에 대해 어느 정도 만족하십니까?",CMS-3. 신규 홈페이지에 적용한 디지털원패스 로그인 방식에 만족하십니까?,CMS-4. 신규 홈페이지 개통 후 오류 및 개선 조치 등 대응에 만족하십니까?,CMS-5. 새로운 CMS가 적용된 시스템에 만족하십니까?
2026. 6. 22 오전 10:54:14,본청,전산,6급 이하,통합 완료한 정보시스템,매우 만족,O,O,O,O,"(보안강화) 보안체계 일원화로 정보보호 수준 향상, (가용성 확보) 업무집중 시기 신속한 자원 증설, (업무경감) 시스템 관리업무 전담화로 업무 부담 경감",상,상,상,상,상,상,응용 유지관리도 통합해 주세요.,"CMS 전환기관(수원, 군포의왕, 시흥, 이천교육지원청) 담당자",,,,,,,,,5,5,5,5,5
2026. 6. 23 오후 2:25:18,본청,교육행정,6급 이하,향후 통합된 정보자원을 활용 예정인 담당 기관이나 부서,,X,O,O,O,"(가용성 확보) 업무집중 시기 신속한 자원 증설, (업무경감) 시스템 관리업무 전담화로 업무 부담 경감, (예산절감) 신규, 고도화 사업 시 통합자원 활용으로 중복 투자 방지",중,상,중,상,중,하,,해당없음,,,,,,,,,,,,,
2026. 6. 23 오후 2:42:09,교육지원청,전산,6급 이하,통합 완료한 정보시스템,만족,X,O,O,O,"(보안강화) 보안체계 일원화로 정보보호 수준 향상, (예산절감) 신규, 고도화 사업 시 통합자원 활용으로 중복 투자 방지, (장애대응) 통합관제 센터 모니터링으로 장애 예방 및 신속한 대응",상,중,하,상,상,중,없음,이전 통합기관(MSA/CMS대상기관 제외) 담당자,3,3,3,,,,,,,,,,
2026. 6. 23 오후 3:01:08,직속기관,전산,6급 이하,통합 완료한 정보시스템,매우 만족,O,O,O,O,"(보안강화) 보안체계 일원화로 정보보호 수준 향상, (가용성 확보) 업무집중 시기 신속한 자원 증설, (예산절감) 신규, 고도화 사업 시 통합자원 활용으로 중복 투자 방지",상,상,상,상,상,상,Itsm,이전 통합기관(MSA/CMS대상기관 제외) 담당자,5,5,4,,,,,,,,,,
2026. 6. 23 오후 3:07:29,교육지원청,전산,6급 이하,통합 완료한 정보시스템,만족,X,O,O,O,"(보안강화) 보안체계 일원화로 정보보호 수준 향상, (예산절감) 신규, 고도화 사업 시 통합자원 활용으로 중복 투자 방지, (장애대응) 통합관제 센터 모니터링으로 장애 예방 및 신속한 대응",상,중,중,상,상,중,안정적인 서비스와 신속 정확한 장애처리에 대한 대응 방안을 마련해 주시고 사용하는 기관담당자와 상호 협력 강화에 신경써주시길 바랍니다,"CMS 전환기관(수원, 군포의왕, 시흥, 이천교육지원청) 담당자",,,,,,,,,4,4,5,4,4
2026. 6. 23 오후 3:29:49,교육지원청,전산,6급 이하,통합 완료한 정보시스템,매우 만족,O,O,O,O,"(보안강화) 보안체계 일원화로 정보보호 수준 향상, (업무경감) 시스템 관리업무 전담화로 업무 부담 경감, (장애대응) 통합관제 센터 모니터링으로 장애 예방 및 신속한 대응",상,상,상,상,상,상, ,"CMS 전환기관(수원, 군포의왕, 시흥, 이천교육지원청) 담당자",,,,,,,,,5,5,5,5,5
2026. 6. 23 오후 3:31:28,교육지원청,전산,6급 이하,통합 완료한 정보시스템,만족,O,O,O,O,"(보안강화) 보안체계 일원화로 정보보호 수준 향상, (업무경감) 시스템 관리업무 전담화로 업무 부담 경감, (예산절감) 신규, 고도화 사업 시 통합자원 활용으로 중복 투자 방지",상,상,상,상,상,상,,"CMS 전환기관(수원, 군포의왕, 시흥, 이천교육지원청) 담당자",,,,,,,,,5,5,5,5,4
2026. 6. 23 오후 3:31:40,교육지원청,전산,6급 이하,통합 완료한 정보시스템,만족,O,X,O,O,"(보안강화) 보안체계 일원화로 정보보호 수준 향상, (업무경감) 시스템 관리업무 전담화로 업무 부담 경감, (장애대응) 통합관제 센터 모니터링으로 장애 예방 및 신속한 대응",중,중,상,중,상,중,,이전 통합기관(MSA/CMS대상기관 제외) 담당자,4,4,4,,,,,,,,,,
2026. 6. 23 오후 3:39:03,직속기관,전산,6급 이하,통합 완료한 정보시스템,매우 만족,X,X,O,O,"(보안강화) 보안체계 일원화로 정보보호 수준 향상, (업무경감) 시스템 관리업무 전담화로 업무 부담 경감, (예산절감) 신규, 고도화 사업 시 통합자원 활용으로 중복 투자 방지",상,중,상,상,상,중,.,이전 통합기관(MSA/CMS대상기관 제외) 담당자,5,5,5,,,,,,,,,,
2026. 6. 23 오후 3:40:24,본청,전산,6급 이하,해당없음,,X,O,O,O,"(보안강화) 보안체계 일원화로 정보보호 수준 향상, (업무경감) 시스템 관리업무 전담화로 업무 부담 경감, (예산절감) 신규, 고도화 사업 시 통합자원 활용으로 중복 투자 방지",상,상,상,상,상,중,,해당없음,,,,,,,,,,,,,
2026. 6. 23 오후 3:42:53,교육지원청,전산,6급 이하,통합 완료한 정보시스템,매우 만족,O,O,O,O,"(보안강화) 보안체계 일원화로 정보보호 수준 향상, (가용성 확보) 업무집중 시기 신속한 자원 증설, (장애대응) 통합관제 센터 모니터링으로 장애 예방 및 신속한 대응",상,상,상,상,중,상,없음,이전 통합기관(MSA/CMS대상기관 제외) 담당자,5,5,5,,,,,,,,,,
2026. 6. 23 오후 3:56:23,교육지원청,교육행정,6급 이하,통합 완료한 정보시스템,매우 만족,O,X,O,O,"(보안강화) 보안체계 일원화로 정보보호 수준 향상, (업무경감) 시스템 관리업무 전담화로 업무 부담 경감, (예산절감) 신규, 고도화 사업 시 통합자원 활용으로 중복 투자 방지",상,상,상,상,상,중,.,해당없음,,,,,,,,,,,,,
2026. 6. 23 오후 3:59:27,교육지원청,전산,6급 이하,통합 완료한 정보시스템,매우 만족,O,O,O,X,"(보안강화) 보안체계 일원화로 정보보호 수준 향상, (업무경감) 시스템 관리업무 전담화로 업무 부담 경감, (예산절감) 신규, 고도화 사업 시 통합자원 활용으로 중복 투자 방지",상,중,상,중,상,상,,이전 통합기관(MSA/CMS대상기관 제외) 담당자,4,5,5,,,,,,,,,,
